,type_of_reference,primary_title,authors,secondary_authors,publisher,volume,start_page,end_page,year,date,issn,doi,urls,keywords,abstract,journal_name,number,place_published,secondary_title,asreview_group_id,asreview_label,asreview_time,asreview_note
34,JOUR,LEAVES: An open-source web-based tool for the scalable annotation and visualisation of large-scale ecoacoustic datasets using cluster analysis,"Napier, Thomas;Ahn, Euijoon;Allen-Ankins, Slade;Schwarzkopf, Lin;Lee, Ickjai",,,87,103026,,2025,2025/07/01/,1574-9541,https://doi.org/10.1016/j.ecoinf.2025.103026,https://www.sciencedirect.com/science/article/pii/S1574954125000354,Acoustic monitoring;Clustering;Computer software;Decision support;Ecoacoustic analysis;Machine learning application,"Ecoacoustics has emerged as a pivotal discipline in the conservation and monitoring of ecosystems, offering insights into species’ behaviour and ecosystem health through soundscape analysis. Central to this is the need for accurate annotations of environmental audio recordings, which underpin the computational models used in ecological monitoring. However, due to the increasingly large scale of datasets, annotation using existing tools and techniques cannot be performed at feasible speeds or with the necessary accuracy required for real-world application. The LEAVES (Large-scale Ecoacoustics Annotation and Visualisation with Efficient Segmentation) platform addresses this gap by leveraging unsupervised clustering techniques optimised for the high-throughput annotation of large-scale ecoacoustics datasets. Our evaluation across six real-world datasets shows that LEAVES improves annotation efficiency by up to 7.12 times compared to manual annotation while maintaining 79%–90% label similarity to validated data. We expect that our proposed tool will greatly accelerate the annotation process when generating high-quality labelled datasets, supporting larger-scale studies with broader community engagement in ecoacoustics research.",Ecological Informatics,,,,34,1,2025-03-21 14:31:30,
16,JOUR,APLOSE: A web-based annotation platform for underwater passive acoustic monitoring,"Dubus, Gabriel;Torterotot, Maëlle;Béesau, Julie;Dupont, Mathieu;Gros-Martial, Anatole;Michel, Mathilde;Morin, Elodie;Duc, Paul Nguyen Hong;Raumer, Pierre-Yves;Adam, Olivier;Samaran, Flore;Cazau, Dorian",,,29,102055,,2025,2025/02/01/,2352-7110,https://doi.org/10.1016/j.softx.2025.102055,https://www.sciencedirect.com/science/article/pii/S2352711025000226,Underwater acoustics;Passive acoustic monitoring;Open source;Annotation platform,"Emerging detection and classification algorithms based on deep learning models require manageable large-scale manual annotations of ground truth data. To date, the challenge of creating large and accurate annotated datasets of underwater sounds has been a major obstacle to the development of robust recognition algorithms. APLOSE (Annotation PLatform for Ocean Sound Explorers) is an open-source, web-based tool which facilitates collaborative annotation campaigns in underwater acoustics. The platform was used to carry out research projects on inter-annotator variability, to build training and testing data sets for detection algorithms and to perform bioacoustics analysis on noisy datasets. In the future, it will enable the creation of high-quality reference datasets to test and train the new detection and classification algorithms.",SoftwareX,,,,16,1,2025-03-21 14:32:05,
5,JOUR,Ecoacoustic bank: A software for ecoacoustics data management,"Giraldo-Forero, Andrés Felipe;Rodríguez-Marín, Paula Andrea;Isaza-Narváez, Claudia;Daza-Rojas, Juan Manuel",,,27,101822,,2024,2024/09/01/,2352-7110,https://doi.org/10.1016/j.softx.2024.101822,https://www.sciencedirect.com/science/article/pii/S2352711024001936,Passive acoustic monitoring;Soundscape;Ecoacoustic;Management and storage of recordings;Audio annotation;Metadata query,"This paper describes Ecoacoustic bank, a software for managing and storing passive acoustic monitoring (PAM) data. The software allows integrating audio with other commonly collected data types, such as information on acquisition systems used and spatial–temporal conditions, to encourage research in biodiversity and environmental monitoring. As part of this effort, we use docker technology to facilitate software deployment, where we integrated a user-friendly web interface with the database engine. Other features include integrating advanced search filters and audio annotation of anthropophonies, biophonies, and geophonies.",SoftwareX,,,,5,1,2025-03-21 14:32:50,
38,JOUR,Management of acoustic metadata for bioacoustics,"Roch, Marie A.;Batchelor, Heidi;Baumann-Pickering, Simone;Berchok, Catherine L.;Cholewiak, Danielle;Fujioka, Ei;Garland, Ellen C.;Herbert, Sean;Hildebrand, John A.;Oleson, Erin M.;Van Parijs, Sofie;Risch, Denise;Širović, Ana;Soldevilla, Melissa S.",,,31,122,136,2016,2016/01/01/,1574-9541,https://doi.org/10.1016/j.ecoinf.2015.12.002,https://www.sciencedirect.com/science/article/pii/S1574954115001983,Bioacoustics;Metadata;Call spatiotemporal database;Environmental data access,"Recent expansion in the capabilities of passive acoustic monitoring of sound-producing animals is providing expansive data sets in many locations. These long-term data sets will allow the investigation of questions related to the ecology of sound-producing animals on time scales ranging from diel and seasonal to inter-annual and decadal. Analyses of these data often span multiple analysts from various research groups over several years of effort and, as a consequence, have begun to generate large amounts of scattered acoustic metadata. It has therefore become imperative to standardize the types of metadata being generated. A critical aspect of being able to learn from such large and varied acoustic data sets is providing consistent and transparent access that can enable the integration of various analysis efforts. This is juxtaposed with the need to include new information for specific research questions that evolve over time. Hence, a method is proposed for organizing acoustic metadata that addresses many of the problems associated with the retention of metadata from large passive acoustic data sets. A structure was developed for organizing acoustic metadata in a consistent manner, specifying required and optional terms to describe acoustic information derived from a recording. A client-server database was created to implement this data representation as a networked data service that can be accessed from several programming languages. Support for data import from a wide variety of sources such as spreadsheets and databases is provided. The implementation was extended to access Internet-available data products, permitting access to a variety of environmental information types (e.g. sea surface temperature, sunrise/sunset, etc.) from a wide range of sources as if they were part of the data service. This metadata service is in use at several institutions and has been used to track and analyze millions of acoustic detections from marine mammals, fish, elephants, and anthropogenic sound sources.",Ecological Informatics,,,,38,1,2025-03-21 14:33:58,
10,JOUR,"The Internet of Animals: what it is, what it could be","Kays, Roland;Wikelski, Martin",,,38,859,869,2023,2023/09/01/,0169-5347,https://doi.org/10.1016/j.tree.2023.04.007,https://www.sciencedirect.com/science/article/pii/S0169534723000873,Big Data;API;Internet of Things;artificial intelligence;biodiversity;agriculture;One Health,"One of the biggest trends in ecology over the past decade has been the creation of standardized databases. Recently, this has included live data, formal linkages between disparate databases, and automated analytics, a synergy that we recognize as the Internet of Animals (IoA). Early IoA systems relate animal locations to remote-sensing data to predict species distributions and detect disease outbreaks, and use live data to inform management of endangered species. However, meeting the future potential of the IoA concept will require solving challenges of taxonomy, data security, and data sharing. By linking data sets, integrating live data, and automating workflows, the IoA has the potential to enable discoveries and predictions relevant to human societies and the conservation of animals.",Trends in Ecology & Evolution,9,,,10,1,2025-03-21 14:41:47,
33,JOUR,Bird-DB: A database for annotated bird song sequences,"Arriaga, Julio G.;Cody, Martin L.;Vallejo, Edgar E.;Taylor, Charles E.",,,27,21,25,2015,2015/05/01/,1574-9541,https://doi.org/10.1016/j.ecoinf.2015.01.007,https://www.sciencedirect.com/science/article/pii/S1574954115000151,Bioacoustics;Bird song;Phrase sequence;Birdsong syntax;Database,"Projects on the acoustic monitoring of animals in natural habitats generally face the problem of managing extensive amounts of data, both needed for – and produced by – observation or experimentation. While there are many publicly accessible databases for recordings themselves, we are aware of none for annotated song sequences. In this paper, we describe our database system of bird vocalizations and introduce our online sample repository for the community of researchers studying the syntax of bird song.",Ecological Informatics,,,,33,1,2025-03-21 14:42:41,
7,JOUR,Ensemble extraction for classification and detection of bird species,"Kasten, Eric P.;McKinley, Philip K.;Gage, Stuart H.",,,5,153,166,2010,2010/05/01/,1574-9541,https://doi.org/10.1016/j.ecoinf.2010.02.003,https://www.sciencedirect.com/science/article/pii/S1574954110000361,Acoustics;Data stream;Ensemble;Pattern recognition;Remote sensing;Time series analysis,"Advances in technology have enabled new approaches for sensing the environment and collecting data about the world. Once collected, sensor readings can be assembled into data streams and transmitted over computer networks for storage and processing at observatories or to evoke an immediate response from an autonomic computer system. However, such automated collection of sensor data produces an immense quantity of data that is time consuming to organize, search and distill into meaningful information. In this paper, we explore the design and use of distributed pipelines for automated processing of sensor data streams. In particular, we focus on the detection and extraction of meaningful sequences, called ensembles, from acoustic data streamed from natural areas. Our goal is automated detection and classification of various species of birds.",Ecological Informatics,3,,,7,1,2025-03-21 14:43:48,
26,JOUR,Cyberinfrastructure for sourcing and processing ecological data,"Recknagel, Friedrich",,,75,102039,,2023,2023/07/01/,1574-9541,https://doi.org/10.1016/j.ecoinf.2023.102039,https://www.sciencedirect.com/science/article/pii/S1574954123000687,Cyberinfrastructure;Adaptive management;Ecological entities;Ecological monitoring;Data management;Ecological synthesis;Ecological forecasting;Machine learning;Deep learning;Hybrid modelling,"Cyberinfrastructure is a product of the information age that provides a framework for informing adaptive management of ecological entities under the impact of regional and global change. It supports proximity monitoring, user-friendly data management, knowledge discovery by data synthesis, and decision making by forecasting. A workflow is proposed that suits the iterative nature of adaptive management. It takes advantage of novel sensor, genomics, and communication technology for ecological monitoring, of ontologies, semantic webs and blockchain for data management, of hybrid, machine and deep learning concepts for data synthesis and forecasting. Forecasting at different time horizons is guiding decision making for adjusting management and continuing monitoring. This review aims to make researchers, decision makers and stakeholders aware of currently existing technology to make better use of ecological data and models for timely and evidence-based decisions.",Ecological Informatics,,,,26,1,2025-03-21 14:44:07,
6,JOUR,Contributions of MIR to soundscape ecology. Part 3: Tagging and classifying audio features using a multi-labeling k-nearest neighbor approach,"Bellisario, Kristen M.;Broadhead, Taylor;Savage, David;Zhao, Zhao;Omrani, Hichem;Zhang, Saihua;Springer, John;Pijanowski, Bryan C.",,,51,103,111,2019,2019/05/01/,1574-9541,https://doi.org/10.1016/j.ecoinf.2019.02.010,https://www.sciencedirect.com/science/article/pii/S1574954118301924,Soundscape ecology;Multi-labeling;K-nearest neighbor;Visualization of acoustic data;Audio features,"Scientists are using acoustic monitoring to assess the impact of altered soundscapes on wildlife communities and human systems. In the soundscape ecology field, monitoring and analyses approaches rely on the interdisciplinary intersection of ecology, acoustics, and computer science. Combining theory and practice of each field in the context of Knowledge Discovery in Databases (KDD), soundscape ecologists provide innovative monitoring solutions for ecologically-driven research questions. We propose a soundscape content analysis framework for improved knowledge outcome with assistance of the new multi-label (ML) concept. Here, we investigated the effectiveness of a ML k-nearest neighbor algorithm (ML-kNN) for labeling concurrent soundscape components within a single recording. We manually labeled 1200 field recordings for the presence of soundscape components and extracted ecological acoustic features, audio profile features, and Gaussian-mixture model features for each recording. Then, we tested the ML-kNN algorithm accuracy with well-established metrics adapted to ML learning. We found that seventeen unique acoustic features could predict a set of biophonic, geophonic, and anthrophonic labels for a single field recording with average precision of 0.767. However, certain labels were predicted incorrectly depending on the time of day and co-occurrence of that label with another label, suggesting further refinement is needed to improve the accuracy of predicted labels. Overall, this ML classification approach could enable researchers to label field recordings more quickly and generate an “alert” system for monitoring changes in a specific sound class. Ultimately, the adaptation of the ML algorithm may provide soundscape ecologists with new metadata labels that are searchable in large databases of soundscape field recordings.",Ecological Informatics,,,,6,1,2025-03-21 14:45:08,
9,JOUR,Temporal Pass Plots: An intuitive method for visualising activity patterns of bats and other vocalising animals,"Beason, Richard D.;Riesch, Rüdiger;Koricheva, Julia",,,113,106202,,2020,2020/06/01/,1470-160X,https://doi.org/10.1016/j.ecolind.2020.106202,https://www.sciencedirect.com/science/article/pii/S1470160X20301394,Passive Acoustic Monitoring;Temporal Pass Plot;Bat;Activity;Behaviour;Survey standardisation,"Bats perform a number of ecosystem services but face numerous threats. Improved monitoring strategies are essential to better target conservation efforts, and passive acoustic monitoring (PAM) is being increasingly used to record bat activity. Although temporal patterns of bat activity can provide useful information about behaviour and habitat use, such assessments are rarely performed. Here, we describe the Temporal Pass Plot (TPP) that utilises audio file metadata to create highly detailed visualisations of bat activity, enabling direct comparisons of temporal activity patterns between different species and habitats. The example workflow and accompanying suite of utilities facilitate the production of TPPs with R or Excel. TPPs created using bat pass data revealed inter- and intra-specific differences in temporal activity that would normally be missed by typical assessments, which tend to measure bat activity using the total, or average, number of bat passes recorded on each night. This analysis illustrates how TPPs are capable of revealing useful insights into bat behaviour and expanding the scope of information acquired by PAM. TPPs provide an intuitive means of visualising patterns of bat activity over prolonged periods of time. With further study, activity patterns within TPPs could be related to specific behaviours such as roosting and commuting, enabling more detailed assessments of habitat use. Although bats are ideal candidates for TPPs, this technique could also be adapted for other species that can be monitored using time-stamped acoustic data.",Ecological Indicators,,,,9,1,2025-03-21 14:46:45,
